15385,AR04
573,ME01
574,ME02
8174,LR01
7096,DO01
NT24,SN04
NT20,GN03
NT21,SN01
NT22,SN02
NT23,SN03
735,LY01
469,LA08
1352,OM06
LF201,HU18
LF200,HU17
DT28,SG15
DT29,LR03
LF205,LT17
LF204,IT12
LF207,LT19
5552,JP15
DT22,BN06
DT23,BN07
DT20,HK17
DT21,BN05
DT26,HK18
DT27,MO04
DT24,BN08
DT25,BN09
930,BO01
1517,NR01
1512,VU01
EB38,VI01
EB30,AX01
EB31,AX04
EB32,CY03
EB33,CY04
EB35,CY05
AB10,IN08
11838,MT02
CJ17,HK03
3189,JP08
MG17,BQ04
MG14,BQ02
MG12,AW04
MG10,SX03
MG19,BQ03
MG18,BQ05
NL108,CZ03
NL109,CZ05
NL106,CZ07
NL104,CZ01
NL102,AS12
NL100,NG02
9181,BO02
CH63,IQ14
CH62,IQ13
CH61,IQ12
CH60,JO08
CH65,IQ16
CH64,IQ15
355,GQ04
MT09,MT12
2328,RO01
15361 ,GD07
289,SA09
284,SA06
286,SA07
JF72,AU09
JF74,JP18
JF77,CA09
5153,PG06
110,GT04
140402,MH02
LF191,DK07
LF190,DK06
LF193,HU10
LF192,HU09
LF195,HU12
LF194,HU11
9089,MN01
LF196,HU13
LF199,HU16
LF198,HU15
ES44,PT08
ES46,AF03
ES47,BG09
ES41,CO11
ES42,BR18
ES43,PY10
ES48,AR08
MW19,VE02
5081,GA03
LM36,DZ04
15893,MK05
2922,SO04
NT605,RE02
LM33,PK06
CH54,PK16
HK07,HK09
HK06,HK08
HK05,HK06
EB163 ,SX08
HK03,HK05
NL18,SD03
NL15,ZM03
NL14,GM01
NL17,MW02
CH55,PK14
2814,FJ02
562,VN01
3172,ID05
MS19,MO01
SN90,LV49
SN91,LV47
SN92,LV46
SN93,AO07
SN94,AO08
SN95,AO09
SN96,PA02
7086,BN01
SN98,PA04
SN99,BZ11
538,AE02
MM38,CL03
723,EG02
720,LB01
CH53,PK12
1742,UG02
DT35,SG16
DT34,TW10
DT37,MT19
DT36,MT18
DT31,SD05
DT30,LR04
DT33,ZA06
DT32,SD06
CH27 ,TT04
DT39,PG07
DT38,MT20
LF210,LT22
47,PY06
MO01,MO02
3192,JP14
EB29,BN03
EB22,SJ03
EB21,CK02
EB20,CY06
EB25,BQ08
SH30,GF02
SH31,PF03
SH32,PF04
MS9,UY04
MS7,MA04
MS6,MA03
MS5,BZ06
MS3,CD01
1367,MY04
1363,MY02
474,NO04
LF166,CH18
