ID,COUNTRY_NAME,ISO3,ISO2,POLICY_TYPE,POLICY_SUBTYPE,START_DATE,END_DATE,AIR,AIR_TYPE,TARGETS_AIR,LAND,LAND_TYPE,TARGETS_LAND,SEA,SEA_TYPE,TARGETS_SEA,CITIZEN,CITIZEN_LIST,HISTORY_BAN,HISTORY_BAN_LIST,REFUGEE,REFUGEE_LIST,VISA_BAN,VISA_BAN_TYPE,VISA_BAN_LIST,CITIZEN_EXCEP,CITIZEN_EXCEP_LIST,COUNTRY_EXCEP,COUNTRY_EXCEP_LIST,WORK_EXCEP,SOURCE_TYPE,INTERNAL_GOVT_SOURCE,AIRLINE_SOURCE,INSURANCE_SOURCE,GOVT_SOCIAL_MED_SOURCE,EXT_GOVT_SOURCE,INTERNAL_MEDIA_SOURCE,EXT_MEDIA_SOURCE,OTHER_SOURCE,END_SOURCE
10507,Canada,CAN,CA,PARTIAL,BORDER_CLOSURE,05_12_20,07_21_20,0,NA,NA,1,All,NA,1,Specific,RABC Program water borders (US),0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,1,https://web.archive.org/web/20200427194154/https://www.canada.ca/en/border-services-agency.html,,,,,,,,https://web.archive.org/web/20200427194154/https://www.canada.ca/en/border-services-agency.html
10513,Cuba,CUB,CU,PARTIAL,BORDER_CLOSURE,05_13_20,06_30_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,8,,,,,,,,https://cu.usembassy.gov/covid-19-information/,
10523,Somalia,SOM,SO,PARTIAL,BORDER_CLOSURE,05_14_20,NONE,0,NA,NA,1,Specific,"Kenya, Ethiopia",0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,3,,,https://web.archive.org/web/20200524221432/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,,,,,
10664,Pakistan,PAK,PK,PARTIAL,BORDER_CLOSURE,03_21_20,03_29_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,7,,,,,,,https://web.archive.org/web/20200515201118/https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,, https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html
10666,Pakistan,PAK,PK,PARTIAL,BORDER_CLOSURE,03_29_20,06_20_20,1,All,NA,1,All,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,7,,,,,,,https://web.archive.org/web/20210417164448/https://www.aljazeera.com/news/2020/6/3/coronavirus-travel-restrictions-border-shutdowns-by-country,,
10667,Pakistan,PAK,PK,PARTIAL,BORDER_CLOSURE,03_22_20,03_29_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,2,,https://web.archive.org/web/20200324221528/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,,,,,,, https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html
10716,Malawi,MWI,MW,PARTIAL,BORDER_CLOSURE,05_15_20,09_01_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,3,,,https://web.archive.org/web/20200524221432/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,,,,,https://web.archive.org/web/20201128035131/https://www.gov.uk/foreign-travel-advice/malawi
10920,Kenya,KEN,KE,PARTIAL,BORDER_CLOSURE,05_16_20,NONE,0,NA,NA,1,Specific,"Tanzania, Somalia",0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,4,,,,https://web.archive.org/web/20201230002554/https://twitter.com/moh_kenya/status/1261644426985775104,,,,,
11020,Afghanistan,AFG,AF,PARTIAL,BORDER_CLOSURE,03_31_20,07_01_20,1,Specific,all commercial flights suspended except from Turkey and India and Hirat International Airport is closed,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,5,,,,,https://reliefweb.int/sites/reliefweb.int/files/resources/daily_brief_covid-19_01_april_2020.pdf,,,,
11024,Bangladesh,BGD,BD,PARTIAL,BORDER_CLOSURE,06_16_20,NONE,1,Specific,"Bahrain, Bhutan, Hong Kong, India, Kuwait, Malaysia, Maldives, Nepal, Oman, Qatar, Saudi Arabia, Sri Lanka, Singapore, Thailand, Turkey,  United Kingdom, United Arab Emirates ",0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,1,https://caab.portal.gov.bd/site/notices/e9172346-d6db-425c-854d-75007c5529fa/Suspension-of-Schedule-International-Flights-To-From-bd,,,,,,,,
11508,Romania,ROU,RO,PARTIAL,BORDER_CLOSURE,05_15_20,06_14_20,1,Specific,"Austria, Belgium, France, Germany, Iran, Italy, the Netherlands, Spain, Switzerland, Turkey, the UK and the USA",0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,3,,,https://web.archive.org/web/20200524221432/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,,,,,
11776,Sudan,SDN,SD,PARTIAL,BORDER_CLOSURE,03_16_20,07_14_20,1,All,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,3,,,https://web.archive.org/web/20200524221432/pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,,,,,https://web.archive.org/web/20200715120156/https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
